Date,Open,High,Low,Final,Volume,Name
2008-12-09,17850000,17850000,17389999,17559999,1000,EC
2008-12-10,17500000,17500000,17400000,17480000,30500,EC
2008-12-11,17500000,18500000,17500000,18200001,15800,EC
2008-12-12,18270000,18500000,17820000,18000000,4600,EC
2008-12-15,18000000,18740000,18000000,18600000,12400,EC
2008-12-16,19000000,19100000,18990000,19100000,1300,EC
2008-12-17,19350000,19500000,18750000,18850000,19800,EC
2008-12-18,18770000,18940001,17750000,18000000,6500,EC
2008-12-19,18150000,24379999,18150000,21500000,532900,EC
2008-12-22,19500000,20000000,18870001,19200001,208900,EC
2008-12-23,19200001,19450001,18440001,19150000,72500,EC
2008-12-24,19980000,19980000,18100000,18100000,55800,EC
2008-12-26,19250000,19250000,18250000,18400000,20800,EC
2008-12-29,18650000,19000000,17840000,17840000,20500,EC
2008-12-30,18000000,18500000,17940001,18500000,9500,EC
2008-12-31,18440001,18469999,18059999,18370001,2600,EC
2009-01-02,18490000,18490000,18290001,18400000,7600,EC
2009-01-05,18490000,19000000,18309999,19000000,15700,EC
2009-01-06,18870001,19500000,18500000,19299999,28200,EC
2009-01-07,20000000,20000000,18570000,18600000,33400,EC
2009-01-08,18500000,19000000,18350000,18700001,17700,EC
2009-01-09,18500000,19000000,18000000,18330000,88000,EC
2009-01-12,18010000,18350000,18010000,18350000,5700,EC
2009-01-13,18299999,18700001,18299999,18440001,82200,EC
2009-01-14,18250000,18299999,17750000,18000000,26000,EC
2009-01-15,17750000,18250000,17500000,17620001,18100,EC
2009-01-16,18000000,19500000,17620001,19500000,11300,EC
2009-01-20,18240000,18330000,17510000,17510000,6600,EC
2009-01-21,17559999,18180000,17559999,18150000,131600,EC
2009-01-22,18190001,18190001,17000000,17500000,8700,EC
2009-01-23,17129999,18000000,17129999,17760000,73400,EC
2009-01-26,17540001,17850000,17260000,17650000,7200,EC
2009-01-27,17650000,17650000,17000000,17500000,18500,EC
2009-01-28,17469999,18230000,16440001,17620001,28900,EC
2009-01-29,16950001,17320000,16850000,16969999,147900,EC
2009-01-30,16850000,17299999,16500000,16809999,21300,EC
2009-02-02,16709999,16709999,16000000,16480000,34600,EC
2009-02-03,16750000,16750000,16360001,16580000,12500,EC
2009-02-04,19000000,19000000,16610001,16750000,6600,EC
2009-02-05,16840000,17500000,16670000,17500000,6600,EC
2009-02-06,17340000,17900000,16549999,17000000,70500,EC
2009-02-09,17370001,17950001,17350000,17450001,83400,EC
2009-02-10,17440001,17440001,16860001,17160000,19800,EC
2009-02-11,16900000,16900000,16650000,16650000,9000,EC
2009-02-12,16500000,17459999,16500000,16750000,49400,EC
2009-02-13,16750000,17500000,16750000,17110001,19900,EC
2009-02-17,15740000,17110001,15740000,16740000,278600,EC
2009-02-18,16750000,16750000,16260000,16330000,49300,EC
2009-02-19,16080000,16389999,16000000,16370001,39900,EC
2009-02-20,15920000,15950000,15300000,15770000,20900,EC
2009-02-23,15900000,15960000,15280000,15310000,21000,EC
2009-02-24,15310000,16250000,15310000,16049999,13500,EC
2009-02-25,15320000,15900000,15320000,15560000,10100,EC
2009-02-26,16110001,16500000,16110001,16340000,19200,EC
2009-02-27,16290001,16580000,15840000,15850000,5100,EC
2009-03-02,15500000,16490000,15500000,16250000,26900,EC
2009-03-03,16049999,16049999,15680000,15980000,25900,EC
2009-03-04,16200001,16879999,16200001,16879999,20300,EC
2009-03-05,16280001,16280001,15500000,15660000,14600,EC
2009-03-06,16100000,16400000,15930000,16000000,9800,EC
2009-03-09,16209999,16490000,16049999,16190001,80700,EC
2009-03-10,16190001,16830000,16190001,16680000,32500,EC
2009-03-11,16990000,16990000,16500000,16600000,19300,EC
2009-03-12,16610001,17379999,16610001,17219999,167900,EC
2009-03-13,17200001,17219999,17070000,17129999,10500,EC
2009-03-16,17250000,17770000,17000000,17000000,75800,EC
2009-03-17,16139999,17690001,15000000,17690001,16000,EC
2009-03-18,17500000,17980000,17500000,17980000,9900,EC
2009-03-19,18000000,18750000,18000000,18490000,91800,EC
2009-03-20,18250000,18490000,17750000,18320000,43400,EC
2009-03-23,18500000,19000000,18350000,18700001,39500,EC
2009-03-24,18799999,18799999,17530001,18209999,16300,EC
2009-03-25,17900000,18080000,17299999,17299999,40100,EC
2009-03-26,17549999,17940001,17500000,17840000,16700,EC
2009-03-27,17580000,17990000,17059999,17110001,155300,EC
2009-03-30,16750000,17049999,15010000,16920000,169500,EC
2009-03-31,17000000,17000000,16500000,16500000,44100,EC
2009-04-01,16410000,17240000,16160000,17240000,28900,EC
2009-04-02,17719999,17790001,17469999,17590000,80600,EC
2009-04-03,17799999,18020000,17660000,17900000,225800,EC
2009-04-06,17910000,18129999,17559999,17750000,47100,EC
2009-04-07,17770000,18080000,17690001,17959999,24100,EC
2009-04-08,19400000,19400000,17910000,17959999,27900,EC
2009-04-09,18170000,18280001,17889999,18219999,6000,EC
2009-04-13,18000000,18000000,17120001,17900000,91700,EC
2009-04-14,18059999,18059999,17620001,17990000,23100,EC
2009-04-15,18040001,18040001,17770000,17990000,16100,EC
2009-04-16,18230000,18379999,18209999,18219999,22000,EC
2009-04-17,19360001,19360001,18030001,18100000,18300,EC
2009-04-20,18000000,18000000,17500000,17500000,12800,EC
2009-04-21,17840000,18100000,17510000,17530001,13000,EC
2009-04-22,17590000,18770000,17590000,18500000,23400,EC
2009-04-23,18280001,18629999,18000000,18170000,22900,EC
2009-04-24,18000000,18760000,18000000,18730000,77900,EC
2009-04-27,18750000,18750000,18129999,18330000,27200,EC
2009-04-28,18240000,18250000,17719999,17840000,19600,EC
2009-04-29,18200001,18680000,18200001,18340000,28500,EC
2009-04-30,18690001,18900000,18000000,18010000,20600,EC
2009-05-01,18000000,18930000,17730000,18900000,30700,EC
2009-05-04,19820000,19820000,18719999,19150000,42400,EC
2009-05-05,19110001,19500000,18889999,19340000,21300,EC
2009-05-06,19389999,19500000,19110001,19270000,13800,EC
2009-05-07,20340000,20340000,19570000,20049999,63800,EC
2009-05-08,20480000,21000000,20299999,20990000,99100,EC
2009-05-11,20990000,21629999,20090000,20280001,68600,EC
2009-05-12,20549999,20900000,20450001,20670000,28300,EC
2009-05-13,22280001,22280001,20000000,20040001,34500,EC
2009-05-14,20500000,20990000,20049999,20469999,99300,EC
2009-05-15,21260000,21260000,19840000,20480000,38000,EC
2009-05-18,19290001,20940001,19290001,20730000,36100,EC
2009-05-19,20610001,21320000,20610001,21129999,8900,EC
2009-05-20,21500000,22059999,21160000,21459999,56400,EC
